A Dijiang,Basketball Men's Basketball
A Lamusi,Judo Men's Extra-Lightweight
Gunnar Nielsen Aaby,Football Men's Football
Edgar Lindenau Aabye,Tug-Of-War Men's Tug-Of-War
Christine Jacoba Aaftink,Speed Skating Women's 500 metres
Christine Jacoba Aaftink,"Speed Skating Women's 1,000 metres"
Per Knut Aaland,Cross Country Skiing Men's 10 kilometres
Per Knut Aaland,Cross Country Skiing Men's 50 kilometres
Per Knut Aaland,Cross Country Skiing Men's 10/15 kilometres Pursuit
Per Knut Aaland,Cross Country Skiing Men's 4 x 10 kilometres Relay
Per Knut Aaland,Cross Country Skiing Men's 30 kilometres
John Aalberg,Cross Country Skiing Men's 10 kilometres
John Aalberg,Cross Country Skiing Men's 50 kilometres
John Aalberg,Cross Country Skiing Men's 10/15 kilometres Pursuit
John Aalberg,Cross Country Skiing Men's 4 x 10 kilometres Relay
John Aalberg,Cross Country Skiing Men's 30 kilometres
"Cornelia ""Cor"" Aalten (-Strannood)",Athletics Women's 100 metres
"Cornelia ""Cor"" Aalten (-Strannood)",Athletics Women's 4 x 100 metres Relay
Antti Sami Aalto,Ice Hockey Men's Ice Hockey
"Einar Ferdinand ""Einari"" Aalto",Swimming Men's 400 metres Freestyle
Jorma Ilmari Aalto,Cross Country Skiing Men's 30 kilometres
Jyri Tapani Aalto,Badminton Men's Singles
Minna Maarit Aalto,Sailing Women's Windsurfer
Pirjo Hannele Aalto (Mattila-),Biathlon Women's 7.5 kilometres Sprint
Arvo Ossian Aaltonen,Swimming Men's 200 metres Breaststroke
Arvo Ossian Aaltonen,Swimming Men's 400 metres Breaststroke
Juhamatti Tapio Aaltonen,Ice Hockey Men's Ice Hockey
Paavo Johannes Aaltonen,Gymnastics Men's Individual All-Around
Paavo Johannes Aaltonen,Gymnastics Men's Team All-Around
Paavo Johannes Aaltonen,Gymnastics Men's Floor Exercise
Paavo Johannes Aaltonen,Gymnastics Men's Horse Vault
Paavo Johannes Aaltonen,Gymnastics Men's Parallel Bars
Paavo Johannes Aaltonen,Gymnastics Men's Horizontal Bar
Paavo Johannes Aaltonen,Gymnastics Men's Rings
Paavo Johannes Aaltonen,Gymnastics Men's Pommelled Horse
Timo Antero Aaltonen,Athletics Men's Shot Put
Win Valdemar Aaltonen,"Art Competitions Mixed Sculpturing, Unknown Event"
Kjetil Andr Aamodt,Alpine Skiing Men's Downhill
Kjetil Andr Aamodt,Alpine Skiing Men's Super G
Kjetil Andr Aamodt,Alpine Skiing Men's Giant Slalom
Kjetil Andr Aamodt,Alpine Skiing Men's Slalom
Kjetil Andr Aamodt,Alpine Skiing Men's Combined
Ragnhild Margrethe Aamodt,Handball Women's Handball
Andreea Aanei,Weightlifting Women's Super-Heavyweight
Fritz Aanes,"Wrestling Men's Light-Heavyweight, Greco-Roman"
Nils Egil Aaness,Speed Skating Men's 500 metres
Nils Egil Aaness,"Speed Skating Men's 1,500 metres"
Alf Lied Aanning,"Gymnastics Men's Team All-Around, Free System"
Agnes Erika Aanonsen (-Eyde),Luge Women's Singles
Johan Aantjes,Water Polo Men's Water Polo
Jan-Erik Aarberg,Sailing Mixed Three Person Keelboat
Willemien Aardenburg,Hockey Women's Hockey
Pepijn Aardewijn,Rowing Men's Lightweight Double Sculls
Evald rma (rman-),Athletics Men's Pole Vault
Olav Augunson Aarnes,Athletics Men's High Jump
Mika Lauri Aarnikka,Sailing Men's Two Person Dinghy
Jamale (Djamel-) Aarrass (Ahrass-),"Athletics Men's 1,500 metres"
Dagfinn Sverre Aarskog,Bobsleigh Men's Four
Stefan Remco Aartsen,Swimming Men's 100 metres Butterfly
Stefan Remco Aartsen,Swimming Men's 200 metres Butterfly
Stefan Remco Aartsen,Swimming Men's 4 x 100 metres Medley Relay
