1,1992 Summer,1992,Summer,Barcelona
2,2012 Summer,2012,Summer,London
3,1920 Summer,1920,Summer,Antwerpen
4,1900 Summer,1900,Summer,Paris
5,1988 Winter,1988,Winter,Calgary
5,1992 Winter,1992,Winter,Albertville
5,1994 Winter,1994,Winter,Lillehammer
6,1992 Winter,1992,Winter,Albertville
6,1994 Winter,1994,Winter,Lillehammer
7,1992 Winter,1992,Winter,Albertville
7,1994 Winter,1994,Winter,Lillehammer
8,1932 Summer,1932,Summer,Los Angeles
9,2002 Winter,2002,Winter,Salt Lake City
10,1952 Summer,1952,Summer,Helsinki
11,1980 Winter,1980,Winter,Lake Placid
12,2000 Summer,2000,Summer,Sydney
13,1996 Summer,1996,Summer,Atlanta
13,2000 Summer,2000,Summer,Sydney
14,1994 Winter,1994,Winter,Lillehammer
15,1912 Summer,1912,Summer,Stockholm
15,1920 Summer,1920,Summer,Antwerpen
15,1924 Summer,1924,Summer,Paris
16,2014 Winter,2014,Winter,Sochi
17,1948 Summer,1948,Summer,London
17,1952 Summer,1952,Summer,Helsinki
18,2000 Summer,2000,Summer,Sydney
19,1948 Summer,1948,Summer,London
20,1992 Winter,1992,Winter,Albertville
20,1994 Winter,1994,Winter,Lillehammer
20,1998 Winter,1998,Winter,Nagano
20,2002 Winter,2002,Winter,Salt Lake City
20,2006 Winter,2006,Winter,Torino
21,2008 Summer,2008,Summer,Beijing
22,2016 Summer,2016,Summer,Rio de Janeiro
23,2000 Summer,2000,Summer,Sydney
23,2004 Summer,2004,Summer,Athina
24,1960 Winter,1960,Winter,Squaw Valley
24,1964 Winter,1964,Winter,Innsbruck
25,1920 Summer,1920,Summer,Antwerpen
26,1984 Winter,1984,Winter,Sarajevo
27,1984 Summer,1984,Summer,Los Angeles
28,1968 Summer,1968,Summer,Mexico City
28,1972 Summer,1972,Summer,Munich
29,1988 Summer,1988,Summer,Seoul
30,1996 Summer,1996,Summer,Atlanta
30,2000 Summer,2000,Summer,Sydney
31,1936 Summer,1936,Summer,Berlin
32,1912 Summer,1912,Summer,Stockholm
33,1992 Summer,1992,Summer,Barcelona
33,1996 Summer,1996,Summer,Atlanta
34,2012 Summer,2012,Summer,London
35,1998 Winter,1998,Winter,Nagano
36,1996 Summer,1996,Summer,Atlanta
36,2000 Summer,2000,Summer,Sydney
37,1996 Summer,1996,Summer,Atlanta
38,1920 Summer,1920,Summer,Antwerpen
39,1912 Summer,1912,Summer,Stockholm
40,1952 Winter,1952,Winter,Oslo
40,1956 Winter,1956,Winter,Cortina d'Ampezzo
40,1960 Winter,1960,Winter,Squaw Valley
41,1920 Summer,1920,Summer,Antwerpen
42,1912 Summer,1912,Summer,Stockholm
43,1992 Summer,1992,Summer,Barcelona
44,1998 Winter,1998,Winter,Nagano
44,2002 Winter,2002,Winter,Salt Lake City
45,1936 Summer,1936,Summer,Berlin
46,1936 Summer,1936,Summer,Berlin
46,1948 Summer,1948,Summer,London
46,1952 Summer,1952,Summer,Helsinki
46,1956 Summer,1956,Summer,Melbourne
46,1960 Summer,1960,Summer,Roma
47,1920 Summer,1920,Summer,Antwerpen
47,1924 Summer,1924,Summer,Paris
47,1928 Summer,1928,Summer,Amsterdam
48,2012 Summer,2012,Summer,London
49,2004 Summer,2004,Summer,Athina
49,2008 Summer,2008,Summer,Beijing
50,1992 Summer,1992,Summer,Barcelona
50,1996 Summer,1996,Summer,Atlanta
51,2016 Summer,2016,Summer,Rio de Janeiro
52,1976 Summer,1976,Summer,Montreal
53,2000 Summer,2000,Summer,Sydney
54,1948 Summer,1948,Summer,London
55,2016 Summer,2016,Summer,Rio de Janeiro
