A Dijiang,1992 Summer
A Lamusi,2012 Summer
Gunnar Nielsen Aaby,1920 Summer
Edgar Lindenau Aabye,1900 Summer
Christine Jacoba Aaftink,1988 Winter
Christine Jacoba Aaftink,1992 Winter
Christine Jacoba Aaftink,1994 Winter
Per Knut Aaland,1992 Winter
Per Knut Aaland,1994 Winter
John Aalberg,1992 Winter
John Aalberg,1994 Winter
"Cornelia ""Cor"" Aalten (-Strannood)",1932 Summer
Antti Sami Aalto,2002 Winter
"Einar Ferdinand ""Einari"" Aalto",1952 Summer
Jorma Ilmari Aalto,1980 Winter
Jyri Tapani Aalto,2000 Summer
Minna Maarit Aalto,1996 Summer
Minna Maarit Aalto,2000 Summer
Pirjo Hannele Aalto (Mattila-),1994 Winter
Arvo Ossian Aaltonen,1912 Summer
Arvo Ossian Aaltonen,1920 Summer
Arvo Ossian Aaltonen,1924 Summer
Juhamatti Tapio Aaltonen,2014 Winter
Paavo Johannes Aaltonen,1948 Summer
Paavo Johannes Aaltonen,1952 Summer
Timo Antero Aaltonen,2000 Summer
Win Valdemar Aaltonen,1948 Summer
Kjetil Andr Aamodt,1992 Winter
Kjetil Andr Aamodt,1994 Winter
Kjetil Andr Aamodt,1998 Winter
Kjetil Andr Aamodt,2002 Winter
Kjetil Andr Aamodt,2006 Winter
Ragnhild Margrethe Aamodt,2008 Summer
Andreea Aanei,2016 Summer
Fritz Aanes,2000 Summer
Fritz Aanes,2004 Summer
Nils Egil Aaness,1960 Winter
Nils Egil Aaness,1964 Winter
Alf Lied Aanning,1920 Summer
Agnes Erika Aanonsen (-Eyde),1984 Winter
Johan Aantjes,1984 Summer
Jan-Erik Aarberg,1968 Summer
Jan-Erik Aarberg,1972 Summer
Willemien Aardenburg,1988 Summer
Pepijn Aardewijn,1996 Summer
Pepijn Aardewijn,2000 Summer
Evald rma (rman-),1936 Summer
Olav Augunson Aarnes,1912 Summer
Mika Lauri Aarnikka,1992 Summer
Mika Lauri Aarnikka,1996 Summer
Jamale (Djamel-) Aarrass (Ahrass-),2012 Summer
Dagfinn Sverre Aarskog,1998 Winter
Stefan Remco Aartsen,1996 Summer
Stefan Remco Aartsen,2000 Summer
Ann Kristin Aarnes,1996 Summer
Karl Jan Aas,1920 Summer
Lars Thorlaksn Aas,1912 Summer
Roald Edgar Aas,1952 Winter
Roald Edgar Aas,1956 Winter
Roald Edgar Aas,1960 Winter
Rolf Aas,1920 Summer
Thomas Valentin Aas,1912 Summer
Morten Gjerdrum Aasen,1992 Summer
Meelis Aasme,1998 Winter
Meelis Aasme,2002 Winter
Hakon Aasns,1936 Summer
Hans Aasns,1936 Summer
Hans Aasns,1948 Summer
Hans Aasns,1952 Summer
Hans Aasns,1956 Summer
Hans Aasns,1960 Summer
Erling Rudolf Aastad,1920 Summer
Erling Rudolf Aastad,1924 Summer
Erling Rudolf Aastad,1928 Summer
Abdelhak Aatakni,2012 Summer
Moonika Aava,2004 Summer
Moonika Aava,2008 Summer
Arvi Aavik,1992 Summer
Arvi Aavik,1996 Summer
Nstor Abad Sanjun,2016 Summer
Patrick Abada,1976 Summer
Talaat Abada,2000 Summer
Mohamed Jamshid Abadi,1948 Summer
Antonio Abadia Beci,2016 Summer
