Basketball,Basketball Men's Basketball
Judo,Judo Men's Extra-Lightweight
Football,Football Men's Football
Tug-Of-War,Tug-Of-War Men's Tug-Of-War
Speed Skating,Speed Skating Women's 500 metres
Speed Skating,"Speed Skating Women's 1,000 metres"
Cross Country Skiing,Cross Country Skiing Men's 10 kilometres
Cross Country Skiing,Cross Country Skiing Men's 50 kilometres
Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit
Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay
Cross Country Skiing,Cross Country Skiing Men's 30 kilometres
Athletics,Athletics Women's 100 metres
Athletics,Athletics Women's 4 x 100 metres Relay
Ice Hockey,Ice Hockey Men's Ice Hockey
Swimming,Swimming Men's 400 metres Freestyle
Badminton,Badminton Men's Singles
Sailing,Sailing Women's Windsurfer
Biathlon,Biathlon Women's 7.5 kilometres Sprint
Swimming,Swimming Men's 200 metres Breaststroke
Swimming,Swimming Men's 400 metres Breaststroke
Gymnastics,Gymnastics Men's Individual All-Around
Gymnastics,Gymnastics Men's Team All-Around
Gymnastics,Gymnastics Men's Floor Exercise
Gymnastics,Gymnastics Men's Horse Vault
Gymnastics,Gymnastics Men's Parallel Bars
Gymnastics,Gymnastics Men's Horizontal Bar
Gymnastics,Gymnastics Men's Rings
Gymnastics,Gymnastics Men's Pommelled Horse
Athletics,Athletics Men's Shot Put
Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event"
Alpine Skiing,Alpine Skiing Men's Downhill
Alpine Skiing,Alpine Skiing Men's Super G
Alpine Skiing,Alpine Skiing Men's Giant Slalom
Alpine Skiing,Alpine Skiing Men's Slalom
Alpine Skiing,Alpine Skiing Men's Combined
Handball,Handball Women's Handball
Weightlifting,Weightlifting Women's Super-Heavyweight
Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman"
Speed Skating,Speed Skating Men's 500 metres
Speed Skating,"Speed Skating Men's 1,500 metres"
Gymnastics,"Gymnastics Men's Team All-Around, Free System"
Luge,Luge Women's Singles
Water Polo,Water Polo Men's Water Polo
Sailing,Sailing Mixed Three Person Keelboat
Hockey,Hockey Women's Hockey
Rowing,Rowing Men's Lightweight Double Sculls
Athletics,Athletics Men's Pole Vault
Athletics,Athletics Men's High Jump
Sailing,Sailing Men's Two Person Dinghy
Athletics,"Athletics Men's 1,500 metres"
Bobsleigh,Bobsleigh Men's Four
Swimming,Swimming Men's 100 metres Butterfly
Swimming,Swimming Men's 200 metres Butterfly
Swimming,Swimming Men's 4 x 100 metres Medley Relay
Football,Football Women's Football
Fencing,"Fencing Men's Foil, Individual"
Fencing,"Fencing Men's epee, Individual"
Fencing,"Fencing Men's epee, Team"
Speed Skating,"Speed Skating Men's 5,000 metres"
Speed Skating,"Speed Skating Men's 10,000 metres"
Sailing,Sailing Mixed 8 metres
Equestrianism,"Equestrianism Mixed Jumping, Individual"
Cross Country Skiing,Cross Country Skiing Men's 15 kilometres
Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
Shooting,Shooting Men's Trap
Athletics,Athletics Men's 4 x 100 metres Relay
Athletics,Athletics Men's Long Jump
Boxing,Boxing Men's Light-Welterweight
Athletics,Athletics Women's Javelin Throw
Wrestling,"Wrestling Men's Heavyweight, Freestyle"
Taekwondo,Taekwondo Men's Flyweight
Boxing,Boxing Men's Heavyweight
Athletics,"Athletics Men's 5,000 metres"
Cycling,"Cycling Men's Road Race, Individual"
Cycling,"Cycling Men's Road Race, Team"
Weightlifting,Weightlifting Men's Lightweight
Weightlifting,Weightlifting Men's Middleweight
Rowing,Rowing Men's Coxless Pairs
Judo,Judo Men's Half-Middleweight
Taekwondo,Taekwondo Women's Flyweight
Boxing,Boxing Men's Flyweight
Basketball,Basketball Women's Basketball
Diving,Diving Men's Platform
Canoeing,"Canoeing Men's Canadian Doubles, 500 metres"
Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres"
Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres"
Handball,Handball Men's Handball
Rowing,Rowing Women's Coxless Pairs
Boxing,Boxing Men's Middleweight
Judo,Judo Men's Lightweight
Boxing,Boxing Men's Featherweight
Tennis,Tennis Men's Doubles
Shooting,Shooting Mixed Skeet
Wrestling,"Wrestling Men's Featherweight, Freestyle"
Sailing,Sailing Mixed Two Person Heavyweight Dinghy
Athletics,Athletics Women's Shot Put
Rowing,Rowing Men's Coxed Eights
Cycling,Cycling Women's Sprint
Cycling,Cycling Women's 500 metres Time Trial
Athletics,Athletics Men's 110 metres Hurdles
Shooting,Shooting Mixed Trap
Athletics,Athletics Women's Marathon
Athletics,Athletics Men's 100 metres
Fencing,"Fencing Men's Foil, Team"
Fencing,"Fencing Men's Sabre, Team"
Swimming,Swimming Men's 100 metres Freestyle
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay
Boxing,Boxing Men's Lightweight
Modern Pentathlon,Modern Pentathlon Men's Individual
Boxing,Boxing Men's Welterweight
Rowing,Rowing Men's Quadruple Sculls
Rowing,Rowing Men's Double Sculls
Rowing,Rowing Men's Coxed Pairs
Athletics,Athletics Men's 400 metres Hurdles
Athletics,Athletics Men's 400 metres
Athletics,Athletics Men's Hammer Throw
Weightlifting,Weightlifting Men's Featherweight
Athletics,Athletics Men's 800 metres
Hockey,Hockey Men's Hockey
Alpine Skiing,Alpine Skiing Women's Slalom
Rowing,Rowing Women's Single Sculls
Swimming,Swimming Men's 50 metres Freestyle
Weightlifting,Weightlifting Women's Featherweight
